Voltage (V),Current (A),Temperature (C),eRPM,Throttle Duty,Motor Duty,Phase Current (A),Power (W),Status 1,Status 2
48.408409,114.8,30.1,102801,72,72,159.44,5557.29,1,0
48.498501,114,30.1,104359,72,72,158.33,5528.83,1,0
48.558559,113,30.1,103710,72,72,156.94,5487.12,1,0
48.37838,118.4,30.13,103831,73,73,162.19,5728,1,0
48.318321,117.6,30.18,104420,73,73,161.1,5682.23,1,0
48.288288,119.8,30.18,105152,73,73,164.11,5784.94,1,0
48.408409,117.2,30.21,105265,73,73,160.55,5673.47,1,0
48.288288,119.8,30.34,105293,74,74,161.89,5784.94,1,0
48.348351,119.6,30.39,106162,74,74,161.62,5782.46,1,0
48.288288,119.4,30.39,106565,74,74,161.35,5765.62,1,0
48.258259,119.6,30.34,106190,74,74,161.62,5771.69,1,0
48.37838,116.8,30.31,105769,74,74,157.84,5650.59,1,0
48.1982,125,30.34,106288,75,75,166.67,6024.78,1,0
48.168171,123.2,30.36,106788,75,75,164.27,5934.32,1,0
48.22823,123,30.44,107392,75,75,164,5932.07,1,0
48.1982,123.4,30.44,107411,75,75,164.53,5947.66,1,0
48.078079,131.2,30.5,108008,76,76,172.63,6307.84,1,0
48.108109,128.2,30.5,108063,76,76,168.68,6167.46,1,0
48.138138,126.8,30.5,108259,76,76,166.84,6103.92,1,0
48.078079,128.8,30.55,108258,76,76,169.47,6192.46,1,0
48.108109,126.6,30.6,108457,76,76,166.58,6090.49,1,0
48.138138,124.2,30.65,108827,76,76,163.42,5978.76,1,0
48.138138,126.2,30.68,108186,76,76,166.05,6075.03,1,0
48.22823,124.2,30.71,108979,76,76,163.42,5989.95,1,0
48.138138,125,30.79,108387,76,76,164.47,6017.27,1,0
47.927929,137.6,30.79,108769,77,77,178.7,6594.88,1,0
48.04805,132.2,30.79,109439,77,77,171.69,6351.95,1,0
48.018021,129.4,30.81,109589,77,77,168.05,6213.53,1,0
48.138138,126.2,30.92,109524,77,77,163.9,6075.03,1,0
48.04805,129.6,30.92,109855,77,77,168.31,6227.03,1,0
48.018021,130.2,30.95,109410,77,77,169.09,6251.95,1,0
48.04805,128,30.95,109027,77,77,166.23,6150.15,1,0
48.018021,131,31,109919,77,77,170.13,6290.36,1,0
48.138138,129.4,31.02,109974,77,77,168.05,6229.08,1,0
48.018021,128.6,31.02,109640,77,77,167.01,6175.12,1,0
48.078079,127,31.1,109355,77,77,164.94,6105.92,1,0
48.018021,131.6,31.16,109855,77,77,170.91,6319.17,1,0
47.987988,128.4,31.18,110072,77,77,166.75,6161.66,1,0
47.8979,137.6,31.21,110805,78,78,176.41,6590.75,1,0
47.86787,139.8,31.24,110612,78,78,179.23,6691.93,1,0
47.987988,129.4,31.29,111232,78,78,165.9,6209.65,1,0
47.86787,137,31.29,110666,78,78,175.64,6557.9,1,0
47.957958,136,31.34,110380,78,78,174.36,6522.28,1,0
47.8979,129.6,31.4,110706,78,78,166.15,6207.57,1,0
47.8979,129.8,31.45,111238,78,78,166.41,6217.15,1,0
47.8979,129,31.45,111047,78,78,165.38,6178.83,1,0
47.627628,142.2,31.5,111188,79,79,180,6772.65,1,0
47.777779,140.4,31.53,111607,79,79,177.72,6708,1,0
47.777779,141.2,31.58,112216,79,79,178.73,6746.22,1,0
47.807808,138.4,31.61,112063,79,79,175.19,6616.6,1,0
47.777779,138.8,31.66,111893,79,79,175.7,6631.56,1,0
47.837837,137,31.69,112085,79,79,173.42,6553.78,1,0
47.807808,136.4,31.72,112270,79,79,172.66,6520.99,1,0
47.837837,136.4,31.74,112061,79,79,172.66,6525.08,1,0
47.837837,136.6,31.8,112116,79,79,172.91,6534.65,1,0
47.807808,139,31.82,112009,79,79,175.95,6645.29,1,0
47.777779,135.4,31.85,111584,79,79,171.39,6469.11,1,0
47.777779,136,31.9,111631,79,79,172.15,6497.78,1,0
47.807808,137.6,31.96,112419,79,79,174.18,6578.35,1,0
47.807808,137,32.01,112409,79,79,173.42,6549.67,1,0
47.777779,136.2,32.01,112452,79,79,172.41,6507.33,1,0
47.837837,139.4,32.06,112125,79,79,176.46,6668.59,1,0
47.807808,139.8,32.09,112523,79,79,176.96,6683.53,1,0
47.657658,140.8,32.14,111953,80,80,176,6710.2,1,0
47.777779,139.8,32.22,112282,79,79,176.96,6679.33,1,0
47.807808,136.4,32.22,112106,79,79,172.66,6520.99,1,0
47.777779,137,32.28,112221,79,79,173.42,6545.56,1,0
47.747749,137.2,32.33,111716,79,79,173.67,6550.99,1,0
47.807808,138.4,32.39,112197,79,79,175.19,6616.6,1,0
